#Units1,batch_size,activation,lr,max_epochs,optimizer,weight_decay,momentum,nesterov,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.692479372024536,3.0554636319478354,0.07034599610715264,51.293521086374916,0.2929669175049135,101
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.838430643081665,3.0562573273976645,0.09600532743331978,51.52906068166097,0.19582978208633228,102
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.8331309954325357,3.0563222567240396,0.10575655207705517,51.37118093172709,0.19205140867287415,103
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.8204287687937417,3.056511084238688,0.10518315798134749,51.50086029370626,0.28940212286095496,104
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.7184577782948813,3.058583895365397,0.0656744861023531,50.56501158078512,0.4314269534586164,105
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.7272133032480874,3.0636138121287027,0.06122075671647219,51.40368048350016,0.2210434452299664,106
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.2639129161834717,3.069425423940023,0.10986972752172955,34.7188769976298,0.14536567348230658,107
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.1658052603403726,3.07222588857015,0.138703742229389,34.0359411239624,0.3391730327524172,108
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.868431647618612,3.0873173077901206,0.05845311468883548,50.53591871261597,0.08988225356833489,109
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.231640338897705,3.0883909861246743,0.14621575559906463,34.49749652544657,0.30478447678894105,110
50,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.851751963297526,3.0926170349121094,0.10191893072788223,33.63145526250204,0.26077260578181444,111
50,1219,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.8240018685658774,3.102529684702555,0.06938046751557725,16.598955392837524,0.2135525613467516,112
100,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.9009993076324463,3.1045828660329184,0.10097168764714054,34.239866495132446,0.05851766671567007,113
50,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.903766473134359,3.105596939722697,0.06487515274697837,33.585322856903076,0.15754590860828654,114
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.8907283941904702,3.1061321099599204,0.0651935391379057,50.74844717979431,0.25489391306559783,115
50,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.9168118635813394,3.113041639328003,0.08808374971818626,33.60904232660929,0.25449138063844223,116
50,1219,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.815826733907064,3.1134138107299805,0.061767536508834694,16.33120560646057,0.12188241045741119,117
100,1219,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.824720621109009,3.114088455835978,0.07859855023490137,17.25390402475993,0.4380060263083722,118
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,True,2.9012786547342935,3.1176915963490806,0.10260251157096736,50.358888149261475,0.14647929289966127,119
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.917389233907064,3.119479020436605,0.09925863418178431,51.704301834106445,0.11256312443185336,120
100,1219,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.830455223719279,3.1213995615641275,0.0755014414128246,16.996309677759807,0.26661102079570126,121
