#Units1,#Units2,activation,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.26342503229777,2.9874958197275796,0.1119341678736696,56.98383339246114,0.4924321754455993,59
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.255741516749064,3.0031046072642007,0.13049933974611513,57.38434942563375,0.7911414388968353,60
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,1.9977962573369343,3.00914200146993,0.12279335508825383,87.08463788032532,0.7228754345481481,61
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.6536492506663003,3.0097505251566568,0.12159582560149235,57.82793847719828,0.5978816617030539,62
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.6699060599009194,3.0122464497884116,0.03364099629903325,86.71439464886983,1.1795041486072106,63
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.6399187246958413,3.018594264984131,0.06289568142509076,57.667619943618774,0.7773568338619004,64
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,1.9308300813039143,3.020575920740763,0.05799939526224244,56.62496956189474,0.5201152855257593,65
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.161681652069092,3.0219138463338218,0.0800914242269085,57.16640098889669,0.5715069725990728,66
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.801762024561564,3.023564100265503,0.06466980346762094,57.32043091456095,0.5461555560540718,67
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.6992952028910318,3.026198466618856,0.08241167863259052,86.62552579243977,1.075134313275659,68
30,10,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.4629056453704834,3.0290607611338296,0.06921044996919726,86.64528282483418,0.4237838520733396,69
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.832305908203125,3.0301102797190347,0.06336276563637028,56.99224901199341,0.7908322446559122,70
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.709412177403768,3.030540386835734,0.042272226197911766,86.35322721799214,0.6130878370887781,71
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.65281351407369,3.036741018295288,0.10355669939892387,57.391515016555786,0.684898725316053,72
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.661921183268229,3.037480195363363,0.029126728048006763,86.67837111155193,0.23971485079568264,73
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.83182692527771,3.047999064127604,0.0676102542281266,57.56806230545044,0.9375592500168496,74
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.3251303831736245,3.049478054046631,0.0802003550425102,57.178356329600014,0.5692028636085272,75
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.408640464146932,3.0511656602223716,0.10482148117206862,57.329944451649986,0.9702523156505627,76
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.2105813026428223,3.062283913294474,0.03173293520219874,57.131651639938354,0.5783973337014657,77
