rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
485,7.1288580894470215,0.13468769646543394,7.01178773244222,0.09405945350366579,relu,64,300,glorot_uniform,0.001,0.2,False,40,0.001,1.7506175835927327
486,7.143941879272461,0.24454832863317288,7.028924942016602,0.11770202856027706,relu,64,300,glorot_uniform,0.001,0.2,False,80,0.0001,2.029282887776693
487,7.164318084716797,0.2080735041780414,7.0429337819417315,0.06470408798256995,relu,1219,300,glorot_uniform,0.01,0.4,False,40,0.0001,0.5737051963806152
488,7.177258809407552,1.9615037539536304,6.846112569173177,1.7715134597065871,relu,128,300,glorot_uniform,0.1,0.9,False,40,0.1,1.3916945457458496
489,7.198532581329346,0.021862329360920904,7.120015780131022,0.12988403458456388,relu,1219,300,glorot_uniform,0.01,0.4,False,40,0.001,0.5785344441731771
490,7.215319474538167,0.9172022343227229,7.363515853881836,0.8790423407386403,relu,256,300,glorot_uniform,0.1,0.0,False,80,0.1,0.901456356048584
491,7.226090908050537,0.25271188120345783,7.1224104563395185,0.03470860680415031,relu,1219,300,glorot_uniform,0.1,0.0,False,120,0.01,0.5803956190745035
492,7.263680934906006,0.25536102033697206,7.16755469640096,0.1479163813691386,relu,64,300,glorot_uniform,0.001,0.2,False,40,0.0001,1.7524512608846028
493,7.277376492818196,0.9707513650921464,6.884113788604736,1.0931881281745721,relu,256,300,glorot_uniform,0.3,0.2,False,120,0.001,0.9779256184895834
494,7.296660900115967,0.7809449922444157,7.098636945088704,0.8970752853208,relu,256,300,glorot_uniform,0.1,0.0,False,120,0.01,0.9395241737365723
495,7.303925037384033,1.1730606550475073,7.270334720611572,1.2585312851126353,relu,256,300,glorot_uniform,0.3,0.0,False,40,0.1,0.8046995004018148
496,7.340692043304443,0.5899051590623432,7.042287508646647,0.5343288250726363,relu,256,300,glorot_uniform,0.1,0.0,False,120,0.0001,1.0296825567881267
497,7.343442598978679,1.6842409746757694,7.2848005294799805,1.8664707248788006,relu,1219,300,glorot_uniform,0.3,0.2,False,80,0.0001,0.5693548520406088
498,7.3510409990946455,0.1525976196785227,7.247863133748372,0.08767398540615902,relu,1219,300,glorot_uniform,0.01,0.4,False,120,0.01,0.7148647308349609
499,7.355194568634033,0.22826775631939109,7.253083388010661,0.05361746265995262,relu,1219,300,glorot_uniform,0.01,0.4,False,80,0.01,0.6841111183166504
500,7.3564408620198565,0.17119370379767526,7.077982107798259,0.14964128538515786,relu,1219,300,glorot_uniform,0.1,0.0,False,40,0.01,0.5979119141896566
501,7.367310841878255,0.1699605392720348,7.282098452250163,0.08386116282613308,relu,1219,300,glorot_uniform,0.01,0.4,False,120,0.1,0.6562739213307699
502,7.37864367167155,0.13851274860541207,7.30292812983195,0.0486446253380573,relu,1219,300,glorot_uniform,0.01,0.4,False,80,0.1,0.6312843163808187
503,7.397114435831706,0.4638817729505046,7.35767126083374,0.5117212632710292,relu,256,300,glorot_uniform,0.1,0.2,False,40,0.1,0.8898119131724039
504,7.406226793924968,0.13842862978117929,7.303177833557129,0.13771348995889543,relu,64,300,glorot_uniform,0.001,0.2,False,40,0.01,1.768981695175171
505,7.418038368225098,0.2003827382074147,7.309299151102702,0.08185234728820776,relu,64,300,glorot_uniform,0.001,0.2,False,120,0.01,2.0427963733673096
506,7.423370202382405,1.9626780046433445,7.415043830871582,2.101273535481061,relu,256,300,glorot_uniform,0.3,0.4,False,120,0.1,0.936975876490275
507,7.439218680063884,0.17207092920749564,7.356571038564046,0.11031064255278603,relu,1219,300,glorot_uniform,0.01,0.4,False,40,0.01,0.5288703441619873
508,7.4596184094746905,2.215855976255325,7.355773448944092,2.4052007180904353,relu,1219,300,glorot_uniform,0.3,0.4,False,40,0.0001,0.5700035095214844
509,7.462680657704671,0.16024853521862517,7.385524749755859,0.1419437588497983,relu,64,300,glorot_uniform,0.001,0.2,False,80,0.1,1.8308200041453044
510,7.477700233459473,0.11289768230847085,7.364255428314209,0.056392330024718836,relu,64,300,glorot_uniform,0.001,0.2,False,80,0.01,1.9760639667510986
511,7.516493002573649,0.0895237436538274,7.675045013427734,0.23583699141371542,relu,1219,300,glorot_uniform,0.1,0.2,False,80,0.1,0.5597089926401774
512,7.51843277613322,0.8508658830520905,7.294108231862386,0.907542043518534,relu,256,300,glorot_uniform,0.1,0.0,False,40,0.0001,0.9697423775990804
513,7.521076838175456,0.8827174665172831,7.165602207183838,0.8641309579017343,relu,256,300,glorot_uniform,0.3,0.2,False,40,0.0001,0.9405677318572998
514,7.5331962903340655,0.13247954778420945,7.447084108988444,0.05793874358321322,relu,1219,300,glorot_uniform,0.01,0.4,False,40,0.1,0.5311365922292074
515,7.556609153747559,1.7560390507310706,7.400404930114746,1.4904145158629296,relu,64,300,glorot_uniform,0.3,0.2,False,120,0.1,1.7744780381520588
516,7.577106475830078,0.8548428143738716,7.550927639007568,0.8882179447942196,relu,256,300,glorot_uniform,0.1,0.2,False,120,0.01,1.1729218165079753
517,7.592106660207112,0.2383319323351423,7.504530588785808,0.17815138730500493,relu,64,300,glorot_uniform,0.001,0.2,False,120,0.1,2.0106629530588784
518,7.601745128631592,0.948707498802888,7.409975528717041,0.8833630458760299,relu,128,300,glorot_uniform,0.1,0.0,False,80,0.1,1.2291007836659749
519,7.617608070373535,0.5190840006827049,7.758778095245361,0.31477433089774554,relu,64,300,glorot_uniform,0.3,0.0,False,80,0.1,1.6625390847524006
520,7.630492369333903,0.42810711736439766,7.389277617136638,0.5409367327916684,relu,64,300,glorot_uniform,0.1,0.0,False,80,0.1,1.683534860610962
521,7.638509114583333,0.06925570529937637,7.553917249043782,0.15717946684980558,relu,64,300,glorot_uniform,0.001,0.0,False,120,0.001,2.0546786785125732
522,7.645396868387858,1.8659894472689293,7.418450673421224,1.6734129602372092,relu,256,300,glorot_uniform,0.1,0.2,False,120,0.1,1.0096558729807537
523,7.647504170735677,0.09577030021709274,7.563031991322835,0.005077727143907756,relu,64,300,glorot_uniform,0.001,0.2,False,40,0.1,1.747702678044637
524,7.653693199157715,1.855214418305105,7.53351895014445,1.8584819678684732,relu,1219,300,glorot_uniform,0.3,0.4,False,80,0.001,0.6371084054311117
525,7.669805526733398,0.18737209991469636,7.580361207326253,0.037713869777314356,relu,1219,300,glorot_uniform,0.01,0.2,False,120,0.0001,0.6901395320892334
526,7.701691627502441,0.0705122883647014,7.602840582529704,0.136008379894147,relu,64,300,glorot_uniform,0.001,0.0,False,40,0.001,1.7002503871917725
527,7.719621340433757,0.1571657310633885,7.6026326815287275,0.09922967682331714,relu,64,300,glorot_uniform,0.001,0.0,False,120,0.0001,1.8576329549153645
528,7.736541271209717,0.8573088787562754,7.665725549062093,0.6493387769448709,relu,64,300,glorot_uniform,0.1,0.0,False,40,0.1,1.6833150386810303
529,7.740457693735759,0.5459856300658401,7.517932573954265,0.49601537891063335,relu,128,300,glorot_uniform,0.1,0.2,False,120,0.1,1.4639387130737305
530,7.741851329803467,0.12468456677316182,7.645209312438965,0.13276687064804527,relu,64,300,glorot_uniform,0.001,0.0,False,80,0.0001,2.4450384775797525
531,7.764866987864177,0.29852284453239564,7.677490711212158,0.08674382105663363,relu,64,300,glorot_uniform,0.001,0.0,False,40,0.0001,2.642857074737549
532,7.765830357869466,0.20305667783479608,7.523545900980632,0.26436070290963665,relu,256,300,glorot_uniform,0.1,0.0,False,40,0.1,0.9152075449625651
533,7.783215363820394,0.17980797118399344,7.701558589935303,0.02940090259130386,relu,64,300,glorot_uniform,0.001,0.0,False,80,0.001,3.1596603393554688
534,7.797030131022136,0.06557042223625487,7.703280766805013,0.09188551164842232,relu,1219,300,glorot_uniform,0.01,0.2,False,80,0.0001,0.5614110628763834
535,7.799306392669678,0.24918161828967114,7.737464427947998,0.09605741349796605,relu,1219,300,glorot_uniform,0.1,0.2,False,120,0.1,0.6123263835906982
536,7.8054130872090655,0.2886003534716602,7.567139307657878,0.15802248550374218,relu,1219,300,glorot_uniform,0.1,0.2,False,40,0.1,0.584338108698527
537,7.809404532114665,1.3866547257885573,7.547518730163574,1.4275949193536086,relu,1219,300,glorot_uniform,0.3,0.4,False,40,0.001,0.5747129917144775
538,7.8212863604227705,0.95314010756386,7.517923355102539,0.7124782576487428,relu,128,300,glorot_uniform,0.3,0.0,False,80,0.1,1.4337553183237712
539,7.8239898681640625,1.81318024789533,7.70279582341512,1.6655826920703438,relu,256,300,glorot_uniform,0.1,0.2,False,80,0.1,1.1138282616933186
540,7.82470687230428,0.1365613749357731,7.715944608052571,0.08154159010240589,relu,1219,300,glorot_uniform,0.01,0.2,False,120,0.001,0.6260917981465658
541,7.835177580515544,1.0510100430116616,7.878745396931966,1.0522445517833172,relu,64,300,glorot_uniform,0.3,0.0,False,120,0.1,1.719422976175944
542,7.863317648569743,0.08762408446663654,7.7646590868632,0.16272340474593966,relu,1219,300,glorot_uniform,0.01,0.2,False,80,0.001,0.6076897780100504
543,7.864987214406331,0.11862328834766485,7.810527960459392,0.182176130316152,relu,1219,300,glorot_uniform,0.01,0.2,False,40,0.0001,0.6429251829783121
544,7.881302038828532,0.41169573111178276,7.767142136891683,0.41153056739187693,relu,128,300,glorot_uniform,0.3,0.2,False,120,0.1,1.3882224559783936
545,7.887201468149821,2.9445518334144953,7.3631354967753095,2.503168318161167,relu,256,300,glorot_uniform,0.3,0.0,False,80,0.0001,0.8614755471547445
546,7.905945460001628,0.10514540167302186,7.776206016540527,0.17261647269856245,relu,1219,300,glorot_uniform,0.01,0.2,False,40,0.001,0.6237727801005045
547,7.92738151550293,1.0635087042525715,8.03605858484904,0.8330824561101973,relu,256,300,glorot_uniform,0.3,0.2,False,120,0.1,1.062184492746989
